,code,endDate,result,startDate
0,100016.SH,,False,
1,100096.SH,,False,
2,100117.SH,,False,
3,100177.SH,,False,
4,100196.SH,,False,
5,100220.SH,,False,
6,100236.SH,2005-11-21 00:00:00,True,2005-10-25 00:00:00
7,100567.SH,2004-12-31 00:00:00,True,2004-12-06 00:00:00
8,100726.SH,,False,
9,100795.SH,2005-11-24 00:00:00,True,2005-10-14 00:00:00
10,110002.SH,,False,
11,110003.SH,2011-12-22 00:00:00,True,2011-11-11 00:00:00
12,110004.SH,2013-07-18 00:00:00,True,2013-06-04 00:00:00
13,110005.SH,2012-02-08 00:00:00,True,2011-12-20 00:00:00
14,110006.SH,2012-11-01 00:00:00,True,2012-09-14 00:00:00
15,110007.SH,,False,
16,110008.SH,2013-04-03 00:00:00,True,2013-02-21 00:00:00
17,110009.SH,2011-09-01 00:00:00,True,2011-07-22 00:00:00
18,110010.SH,,False,
19,110011.SH,,False,
20,110012.SH,,False,
21,110013.SH,,False,
22,110016.SH,,False,
23,110017.SH,,False,
24,110018.SH,,False,
25,110019.SH,,False,
26,110020.SH,2016-11-25 00:00:00,True,2016-10-17 00:00:00
27,110021.SH,,False,
28,110022.SH,,False,
29,110024.SH,,False,
30,110025.SH,2018-09-11 00:00:00,True,2018-08-01 00:00:00
31,110026.SH,2008-09-16 00:00:00,True,2008-08-05 00:00:00
32,110027.SH,2018-08-20 00:00:00,True,2018-07-10 00:00:00
33,110028.SH,2018-07-30 00:00:00,True,2018-06-19 00:00:00
34,110029.SH,2019-11-12 00:00:00,True,2019-09-25 00:00:00
35,110030.SH,2018-08-14 00:00:00,True,2018-07-04 00:00:00
36,110031.SH,2019-07-23 00:00:00,True,2019-06-12 00:00:00
37,110035.SH,,False,
38,110036.SH,,False,
39,110037.SH,,False,
40,110078.SH,2008-10-14 00:00:00,True,2008-09-09 00:00:00
41,110219.SH,,False,
42,110227.SH,2008-09-19 00:00:00,True,2008-08-08 00:00:00
43,110232.SH,2008-10-27 00:00:00,True,2008-09-23 00:00:00
44,110325.SH,,False,
45,110368.SH,,False,
46,110398.SH,2008-09-26 00:00:00,True,2008-08-15 00:00:00
47,110418.SH,,False,
48,110423.SH,2008-11-06 00:00:00,True,2008-10-10 00:00:00
49,110488.SH,,False,
50,110567.SH,2012-06-01 00:00:00,True,2012-05-07 00:00:00
51,110598.SH,2008-09-23 00:00:00,True,2008-08-26 00:00:00
52,110874.SH,2005-08-11 00:00:00,True,2005-07-01 00:00:00
53,110971.SH,2008-09-16 00:00:00,True,2008-08-05 00:00:00
54,113003.SH,,False,
55,113006.SH,2019-01-17 00:00:00,True,2018-12-05 00:00:00
56,113007.SH,2018-10-24 00:00:00,True,2018-09-05 00:00:00
57,113008.SH,,False,
58,113501.SH,2017-01-13 00:00:00,True,2016-12-02 00:00:00
59,125002.SZ,2005-08-09 00:00:00,True,2005-06-29 00:00:00
60,125069.SZ,,False,
61,125089.SZ,,False,
62,125488.SZ,,False,
63,125528.SZ,2013-08-22 00:00:00,True,2013-07-12 00:00:00
64,125572.SZ,,False,
65,125630.SZ,,False,
66,125709.SZ,2008-07-25 00:00:00,True,2008-06-16 00:00:00
67,125717.SZ,2011-12-30 00:00:00,True,2011-12-05 00:00:00
68,125729.SZ,,False,
69,125731.SZ,,False,
70,125822.SZ,,False,
71,125887.SZ,,False,
72,125898.SZ,,False,
73,125930.SZ,,False,
74,125932.SZ,2005-05-18 00:00:00,True,2005-04-21 00:00:00
75,125936.SZ,,False,
76,125937.SZ,,False,
77,125959.SZ,,False,
78,125960.SZ,,False,
79,125969.SZ,2013-08-02 00:00:00,True,2013-06-24 00:00:00
80,126002.SZ,,False,
81,126301.SZ,,False,
82,126630.SZ,2013-12-04 00:00:00,True,2013-10-24 00:00:00
83,126729.SZ,2012-01-13 00:00:00,True,2011-12-01 00:00:00
84,127001.SZ,,False,
85,127002.SZ,2017-12-05 00:00:00,True,2017-10-25 00:00:00
86,128001.SZ,,False,
87,128002.SZ,2018-11-21 00:00:00,True,2018-10-11 00:00:00
88,128003.SZ,2018-07-05 00:00:00,True,2018-05-24 00:00:00
89,128004.SZ,2018-04-10 00:00:00,True,2018-02-26 00:00:00
90,128005.SZ,2017-06-01 00:00:00,True,2017-04-18 00:00:00
91,128006.SZ,2019-06-28 00:00:00,True,2019-05-17 00:00:00
92,128007.SZ,,False,
93,128008.SZ,2018-07-11 00:00:00,True,2018-05-30 00:00:00
94,128009.SZ,2019-01-24 00:00:00,True,2018-12-12 00:00:00
95,128031.SZ,,False,
96,128233.SZ,,False,
97,129031.SZ,,False,
98,110032.SH,,False,
99,110800.SH,,False,
100,113010.SH,2018-05-03 00:00:00,True,2018-03-19 00:00:00
101,113012.SH,,False,
102,113014.SH,,False,
103,113015.SH,,False,
104,113019.SH,,False,
105,113510.SH,,False,
106,113514.SH,,False,
107,123001.SZ,,False,
108,128010.SZ,2020-03-11 00:00:00,True,2020-01-22 00:00:00
109,128011.SZ,,False,
110,128012.SZ,2020-06-04 00:00:00,True,2020-04-21 00:00:00
111,128016.SZ,,False,
112,110033.SH,,False,
113,110034.SH,,False,
114,110038.SH,,False,
115,113009.SH,2020-06-24 00:00:00,True,2020-05-14 00:00:00
116,123014.SZ,,False,
117,124017.SZ,,False,
118,127003.SZ,,False,
119,127004.SZ,,False,
120,128013.SZ,,False,
121,128014.SZ,,False,
122,128015.SZ,2021-09-02 00:00:00,True,2021-07-23 00:00:00
123,128017.SZ,,False,
124,128029.SZ,,False,
