110038.SH前30天,110038.SH,0,0,没有找到公告,002408.SZ,,,,,
110044.SH 开始日：2019-02-15 00:00:00 结束日：55 ,110044.SH,0,0,不提前赎回,128128,当期转股价,,,,
110048.SH 开始日：2021-05-25 00:00:00 结束日：501,110048.SH,0,0,不提前赎回,2021/4/19,8.22,10.686,9.29,0,0
110055.SH 开始日：2020-10-15 00:00:00 结束日：283,110055.SH,0,0,不提前赎回,2021/4/20,8.22,10.686,9.18,0,
110060.SH 开始日：2020-07-07 00:00:00 结束日：71 ,110060.SH,0,0,不提前赎回,2021/4/21,8.22,10.686,9.35,0,
110066.SH 开始日：2020-10-15 00:00:00 结束日：51 ,110066.SH,0,0,不提前赎回,2021/4/22,8.22,10.686,9.52,0,
110074.SH 开始日：2021-04-29 00:00:00 结束日：73 ,110074.SH,0,0,不提前赎回,2021/4/23,8.22,10.686,9.39,0,
113014.SH 开始日：2021-07-23 00:00:00 结束日：815,113014.SH,2021/9/10,2021/9/28,,2021/4/26,8.22,10.686,9.4,0,
113016.SH 开始日：2021-02-10 00:00:00 结束日：702,113016.SH,0,0,不提前赎回,2021/4/27,8.22,10.686,9.46,0,
113025.SH 开始日：2020-12-28 00:00:00 结束日：323,113025.SH,0,0,,2021/4/28,8.22,10.686,9.68,0,
113027.SH 开始日：2020-06-30 00:00:00 结束日：153,113027.SH,0,0,,2021/4/29,8.22,10.686,9.66,0,
113034.SH 开始日：2021-03-25 00:00:00 结束日：137,113034.SH,0,0,,2021/4/30,8.22,10.686,9.63,0,
113039.SH 开始日：2021-08-04 00:00:00 结束日：136,113039.SH,0,0,,2021/5/6,8.22,10.686,10,0,
113504.SH 开始日：2020-05-27 00:00:00 结束日：441,113504.SH,0,0,,2021/5/7,8.22,10.686,10.22,0,
113525.SH 开始日：2021-07-27 00:00:00 结束日：540,113525.SH,0,0,,2021/5/10,8.22,10.686,11.2,1,
113526.SH前30天,113526.SH,0,0,,2021/5/11,8.22,10.686,10.93,1,
113527.SH 开始日：2021-04-08 00:00:00 结束日：439,113527.SH,0,0,,2021/5/12,8.22,10.686,10.99,1,
113528.SH 开始日：2021-07-12 00:00:00 结束日：473,113528.SH,0,0,,2021/5/13,8.22,10.686,10.65,0,
113534.SH 开始日：2021-05-19 00:00:00 结束日：415,113534.SH,0,0,,2021/5/14,8.22,10.686,10.66,0,
113537.SH 开始日：2020-09-25 00:00:00 结束日：220,113537.SH,0,0,,2021/5/17,8.22,10.686,10.72,1,
113545.SH 开始日：2020-10-27 00:00:00 结束日：154,113545.SH,0,0,,2021/5/18,8.22,10.686,10.88,1,
113548.SH前30天,113548.SH,0,0,,2021/5/19,8.22,10.686,10.73,1,
113550.SH 开始日：2020-07-07 00:00:00 结束日：59,113550.SH,0,0,,2021/5/20,8.22,10.686,10.53,0,
113568.SH 开始日：2021-06-30 00:00:00 结束日：219,113568.SH,0,0,,2021/5/21,8.22,10.686,10.79,1,
113572.SH 开始日：2021-07-19 00:00:00 结束日：228,113572.SH,2021/9/7,2021/9/23,,2021/5/24,8.22,10.686,10.88,1,
113575.SH前30天,113575.SH,0,0,,2021/5/25,8.22,10.686,10.97,1,
113576.SH前30天,113576.SH,0,0,,2021/5/26,8.22,10.686,11.4,1,
113577.SH 开始日：2021-02-22 00:00:00 结束日：112,113577.SH,0,0,,2021/5/27,8.22,10.686,11.28,1,
113580.SH前30天,113580.SH,0,0,,2021/5/28,8.22,10.686,11.27,1,
113582.SH前30天,113582.SH,0,0,,2021/5/31,8.22,10.686,11.5,1,
113585.SH 开始日：2020-12-30 00:00:00 结束日：40,113585.SH,0,0,,2021/6/1,8.22,10.686,11.38,1,
113615.SH前30天,113615.SH,0,0,,2021/6/2,8.22,10.686,11.15,1,
113616.SH前30天,113616.SH,0,0,,,,,,,
113621.SH前30天,113621.SH,0,0,,,,,,,
123002.SZ 开始日：2020-08-05 00:00:00 结束日：561,123002.SZ,0,0,,,,,,,
123012.SZ 开始日：2020-09-21 00:00:00 结束日：430,123012.SZ,0,0,,,,,,,
123015.SZ 开始日：2019-03-06 00:00:00 结束日：41,123015.SZ,0,0,,,,,,,
123018.SZ 开始日：2020-01-07 00:00:00 结束日：161,123018.SZ,0,0,,,,,,,
123022.SZ 开始日：2019-11-14 00:00:00 结束日：62,123022.SZ,0,0,,,,,,,
123025.SZ 开始日：2020-04-03 00:00:00 结束日：150,123025.SZ,0,0,,,,,,,
123027.SZ 开始日：2020-01-03 00:00:00 结束日：41,123027.SZ,0,0,,,,,,,
123029.SZ前30天,123029.SZ,0,0,,,,,,,
123030.SZ 开始日：2020-08-07 00:00:00 结束日：139,123030.SZ,2021/8/26,2021/9/14,,,,,,,
123031.SZ前30天,123031.SZ,0,0,,,,,,,
123034.SZ前30天,123034.SZ,0,0,,,,,,,
123035.SZ 开始日：2021-06-28 00:00:00 结束日：298,123035.SZ,0,0,,,,,,,
123038.SZ 开始日：2020-07-29 00:00:00 结束日：49,123038.SZ,0,0,,,,,,,
123042.SZ 开始日：2021-07-15 00:00:00 结束日：270,123042.SZ,0,0,,,,,,,
123044.SZ前30天,123044.SZ,0,0,,,,,,,
123046.SZ前30天,123046.SZ,0,0,,,,,,,
123047.SZ 开始日：2021-05-20 00:00:00 结束日：181,123047.SZ,2021/9/14,2021/10/20,,,,,,,
123048.SZ前30天,123048.SZ,0,0,,,,,,,
123050.SZ 开始日：2021-06-30 00:00:00 结束日：199,123050.SZ,0,0,,,,,,,
123051.SZ 开始日：2021-08-05 00:00:00 结束日：188,123051.SZ,2021/9/17,2021/10/14,,,,,,,
123052.SZ 开始日：2021-07-14 00:00:00 结束日：171,123052.SZ,0,0,,,,,,,
123054.SZ 开始日：2021-05-21 00:00:00 结束日：131,123054.SZ,0,0,,,,,,,
123060.SZ 开始日：2021-06-15 00:00:00 结束日：118,123060.SZ,0,0,不提前赎回,,,,,,
123067.SZ 开始日：2021-05-31 00:00:00 结束日：74,123067.SZ,0,0,不提前赎回,,,,,,
123069.SZ 开始日：2021-06-18 00:00:00 结束日：66,123069.SZ,0,0,不提前赎回,,,,,,
123070.SZ 开始日：2021-06-25 00:00:00 结束日：69,123070.SZ,0,0,不提前赎回,,,,,,
123071.SZ 开始日：2021-07-15 00:00:00 结束日：82,123071.SZ,0,0,,,,,,,
123074.SZ 开始日：2021-06-23 00:00:00 结束日：62,123074.SZ,0,0,,,,,,,
123078.SZ 开始日：2021-06-16 00:00:00 结束日：37,123078.SZ,0,0,,,,,,,
123079.SZ 开始日：2021-06-17 00:00:00 结束日：36,123079.SZ,2021/7/29,2021/9/8,,,,,,,
123084.SZ 开始日：2021-07-19 00:00:00 结束日：52,123084.SZ,0,0,,,,,,,
123085.SZ 开始日：2021-08-02 00:00:00 结束日：61,123085.SZ,0,0,,,,,,,
123086.SZ 开始日：2021-07-22 00:00:00 结束日：54,123086.SZ,0,0,,,,,,,
123089.SZ前30天,123089.SZ,0,0,,,,,,,
123092.SZ 开始日：2021-07-27 00:00:00 结束日：48,123092.SZ,0,0,,,,,,,
123098.SZ前30天,123098.SZ,0,0,,,,,,,
127004.SZ 开始日：2020-01-07 00:00:00 结束日：535,127004.SZ,0,0,,,,,,,
127011.SZ 开始日：2021-07-12 00:00:00 结束日：469,127011.SZ,0,0,,,,,,,
127015.SZ前30天,127015.SZ,0,0,,,,,,,
128017.SZ 开始日：2020-07-01 00:00:00 结束日：488,128017.SZ,0,0,,,,,,,
128021.SZ 开始日：2020-07-07 00:00:00 结束日：537,128021.SZ,0,0,,,,,,,
128029.SZ 开始日：2020-06-24 00:00:00 结束日：513,128029.SZ,0,0,,,,,,,
128030.SZ 开始日：2019-09-26 00:00:00 结束日：335,128030.SZ,0,0,,,,,,,
128036.SZ 开始日：2019-03-19 00:00:00 结束日：147,128036.SZ,0,0,,,,,,,
128041.SZ 开始日：2019-01-24 00:00:00 结束日：30,128041.SZ,0,0,,,,,,,
128046.SZ 开始日：2021-01-13 00:00:00 结束日：450,128046.SZ,0,0,,,,,,,
128050.SZ 开始日：2021-02-02 00:00:00 结束日：430,128050.SZ,0,0,,,,,,,
128053.SZ 开始日：2020-01-09 00:00:00 结束日：123,128053.SZ,0,0,,,,,,,
128074.SZ 开始日：2020-05-25 00:00:00 结束日：66,128074.SZ,0,0,,,,,,,
128075.SZ 开始日：2020-07-14 00:00:00 结束日：100,128075.SZ,0,0,,,,,,,
128078.SZ 开始日：2020-05-26 00:00:00 结束日：47,128078.SZ,0,0,,,,,,,
128079.SZ 开始日：2020-07-07 00:00:00 结束日：75,128079.SZ,0,0,,,,,,,
128082.SZ 开始日：2021-06-28 00:00:00 结束日：283,128082.SZ,0,0,,,,,,,
128085.SZ 开始日：2021-07-21 00:00:00 结束日：292,128085.SZ,0,0,,,,,,,
128093.SZ 开始日：2021-06-09 00:00:00 结束日：252,128093.SZ,0,0,,,,,,,
128094.SZ 开始日：2021-06-28 00:00:00 结束日：255,128094.SZ,0,0,,,,,,,
128095.SZ 开始日：2020-08-19 00:00:00 结束日：31,128095.SZ,0,0,,,,,,,
128096.SZ 开始日：2020-09-28 00:00:00 结束日：59,128096.SZ,0,0,,,,,,,
128097.SZ前30天,128097.SZ,0,0,,,,,,,
128103.SZ 开始日：2020-11-11 00:00:00 结束日：52,128103.SZ,0,0,,,,,,,
128108.SZ 开始日：2020-12-25 00:00:00 结束日：45,128108.SZ,0,0,,,,,,,
128109.SZ 开始日：2021-08-05 00:00:00 结束日：188,128109.SZ,0,0,,,,,,,
128111.SZ前30天,128111.SZ,0,0,,,,,,,
128113.SZ 开始日：2021-03-16 00:00:00 结束日：84,128113.SZ,0,0,,,,,,,
128128.SZ 开始日：2021-04-19 00:00:00 结束日：64,128128.SZ,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
共99个触发了赎回条款，但只有6个发了提前赎回公告，其余的有的发了不赎回公告，有的没有发任何公告,,,,,,,,,,
